Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-06-01 00:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 01:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 02:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 03:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 04:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 05:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 06:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 07:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 08:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
2016-06-01 09:00:00,25,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9990.0,151.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9990.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9999.0,151.0,-9990.0,151.0,-9990.0,151.0
